iter	Logloss
0	0.6925440781
1	0.6921512968
2	0.6916768982
3	0.6913194819
4	0.6909375579
5	0.6905835431
6	0.6903300555
7	0.690010462
8	0.6897688327
9	0.6894097829
10	0.6892112229
11	0.6890104707
12	0.6887816031
13	0.6885730929
14	0.6883723877
15	0.6882147299
16	0.688066576
17	0.6879489032
18	0.6877960316
19	0.6876710943
20	0.6874936564
21	0.6873937185
22	0.6872539152
23	0.6871373233
24	0.6870117392
25	0.6868857313
26	0.6867721467
27	0.6866558391
28	0.6865030919
29	0.6863473564
30	0.6862246332
31	0.6860608058
32	0.6859558029
33	0.6858368485
34	0.6857448781
35	0.6856032254
36	0.6854875089
37	0.6853907008
38	0.6852647105
39	0.6851206461
40	0.6850061068
41	0.6849273972
42	0.6848129874
43	0.6846795026
44	0.6845761146
45	0.684489607
46	0.6843962716
47	0.6842254747
48	0.684106901
49	0.6839745212
50	0.6838393848
51	0.6837626537
52	0.683677397
53	0.6835843638
54	0.6834881181
55	0.68340861
56	0.6833528254
57	0.6833040367
58	0.6832317923
59	0.6831545688
60	0.6831003245
61	0.6830335732
62	0.6829285959
63	0.6827867044
64	0.6827018218
65	0.6826412714
66	0.6825403031
67	0.6824345753
68	0.6823449378
69	0.6821982784
70	0.6821174712
71	0.6820196748
72	0.6819063485
73	0.6818300375
74	0.6817668104
75	0.6816988242
76	0.6816110745
77	0.6815692145
78	0.6815019827
79	0.6813885214
