iter	Passed	Remaining
0	10	821
1	21	824
2	32	827
3	42	801
4	51	775
5	62	774
6	74	773
7	83	749
8	93	735
9	102	720
10	114	716
11	124	705
12	134	694
13	145	686
14	156	677
15	166	665
16	176	654
17	187	644
18	197	633
19	208	624
20	218	613
21	228	602
22	238	590
23	248	579
24	258	569
25	268	557
26	278	545
27	288	535
28	298	524
29	309	516
30	320	506
31	330	495
32	340	485
33	351	475
34	361	464
35	371	454
36	381	443
37	392	433
38	402	423
39	413	413
40	423	402
41	433	392
42	443	381
43	452	370
44	462	359
45	472	349
46	480	337
47	490	327
48	501	317
49	511	306
50	522	296
51	533	287
52	542	276
53	553	266
54	563	256
55	573	245
56	584	235
57	595	225
58	607	216
59	619	206
60	630	196
61	640	185
62	652	175
63	664	166
64	677	156
65	689	146
66	698	135
67	710	125
68	722	115
69	735	105
70	746	94
71	758	84
72	769	73
73	781	63
74	792	52
75	804	42
76	814	31
77	825	21
78	837	10
79	849	0
